,name,company,year,Price,kms_driven,fuel_type
0,Prado is more,Toyota,1997,2100000,1,Diesel
1,Bolan,Suzuki,2006,380000,100000,Petrol
2,Bolan,Suzuki,1998,340000,12345,CNG
3,Alto,Suzuki,2010,535000,94000,Petrol
4,Corolla XLI,Toyota,2013,1430000,100000,Petrol
5,Corrolla Altis,Toyota,2012,1620000,80000,Petrol
6,Cultus VXL,Suzuki,2006,450000,65000,CNG
7,Corrolla Altis,Toyota,2017,2900000,10241,Petrol
8,Alto,Suzuki,2009,490000,83000,CNG
9,Civic VTi,Honda,1997,480000,1,Petrol
10,Khyber,Suzuki,1994,230000,123,CNG
11,Liana,Suzuki,2006,535000,73000,CNG
12,Passo,Toyota,2006,770000,78000,Petrol
13,Civic Prosmetic,Honda,1997,490000,1,Petrol
14,Civic EXi,Honda,1984,160000,170000,CNG
15,Alto,Suzuki,2005,425000,200000,Petrol
16,Charade,Daihatsu,1988,180000,100000,Petrol
17,Pajero Mini,Mitsubishi,1995,520000,82000,Petrol
18,Margalla,Suzuki,1990,400000,10000,CNG
19,City IVTEC,Honda,2014,1400000,69500,Petrol
20,Khyber,Suzuki,1989,175000,10000,CNG
21,Classic,KIA,2001,120000,123456,CNG
22,Civic EXi,Honda,2000,590000,87611,CNG
23,Other,Honda,1995,425000,19000,Hybrid
24,Civic EXi,Honda,2005,685000,99000,CNG
25,Alto,Suzuki,2007,465000,88000,CNG
26,Corolla GLI,Toyota,2010,1190000,75000,Petrol
27,Other,Other Brands,2010,850000,124000,Petrol
28,Cultus VXR,Suzuki,2002,370000,76000,CNG
29,Dayz Highway Star,Nissan,2013,1175000,47000,Petrol
30,Corolla XLI,Toyota,2015,1675000,43000,Petrol
31,Mehran VX,Suzuki,1999,195000,3875,CNG
32,Mehran VX,Suzuki,1991,165000,98000,CNG
33,Alto,Suzuki,2006,420000,1000,Petrol
34,Vitz,Toyota,2014,1430000,39000,Petrol
35,Mehran VXR,Suzuki,1991,150000,127000,CNG
36,Carry,Suzuki,1982,130000,786,LPG
37,Cultus VXR,Suzuki,2004,415000,70,CNG
38,Mehran VX,Suzuki,1997,185000,99999,CNG
39,Passo,Toyota,2010,1040000,89000,Petrol
40,Cultus VX,Suzuki,2002,400000,1,CNG
41,Cultus VXR,Suzuki,2001,360000,100000,Petrol
42,Vitz,Toyota,2003,1150000,69000,Petrol
43,Mehran VX,Suzuki,2005,265000,65000,CNG
44,Mehran VXR,Suzuki,2009,435000,73000,CNG
45,Corolla GLI,Toyota,2009,1220000,163000,Petrol
46,Cultus VXR,Suzuki,2011,780000,56,CNG
47,Bolan,Suzuki,1987,250000,10000,CNG
48,Corrolla Altis,Toyota,2004,875000,190,Petrol
49,Corolla XLI,Toyota,2013,1260000,65000,CNG
50,Cultus VXR,Suzuki,2013,840000,65000,Petrol
51,Alto,Suzuki,2004,350000,174000,CNG
52,Baleno,Suzuki,2001,380000,5458,Petrol
53,Alto,Suzuki,2007,340000,90000,Petrol
54,Mira,Daihatsu,2013,1050000,88000,Petrol
55,Vitz,Toyota,2006,730000,200000,CNG
56,Mehran VXR,Suzuki,1995,195000,28800,CNG
57,Civic VTi Oriel,Honda,2007,1070000,95000,Petrol
58,Cuore,Daihatsu,2001,410000,71000,CNG
59,Charade,Daihatsu,1984,155000,100,CNG
60,Margalla,Suzuki,1994,320000,1,CNG
61,Corolla 2.0 D,Toyota,2010,1080000,134000,Diesel
62,Bolan,Suzuki,1993,290000,1,CNG
63,Corolla XE,Toyota,1998,570000,123456,Petrol
64,Surf,Toyota,2007,4150000,92000,Petrol
65,FX,Suzuki,1988,90000,1,CNG
66,Mehran VXR,Suzuki,2015,590000,36000,Petrol
67,Corolla GLI,Toyota,2015,1740000,40000,Petrol
68,Corolla GLI,Toyota,2004,916000,85010,Petrol
69,Cuore,Daihatsu,2006,535000,153736,Petrol
70,Mehran VX,Suzuki,1991,110000,17000,CNG
71,City IDSI,Honda,2004,765000,100000,Petrol
72,Premio,Toyota,2003,1150000,130000,Petrol
73,Alto,Suzuki,2007,410000,150000,Petrol
74,Mehran VX,Suzuki,1991,110000,17000,CNG
